Germany - squad

1994
(4)  DF  Dennis Aogo                        ##    2, Hamburger SV (GER)
(5)  DF  Serdar Tasci                       ##   12, VfB Stuttgart (GER)
(14)  DF  Holger Badstuber                   ##    2, Bayern Munich (GER)
(16)  DF  Philipp Lahm                       ##   65, Bayern Munich (GER)
(17)  DF  Per Mertesacker                    ##   62, Werder Bremen (GER)
(20)  DF  Jérôme Boateng                     ##    5, Hamburger SV (GER)
(6)  MF  Sami Khedira                       ##    5, VfB Stuttgart (GER)
(7)  MF  Bastian Schweinsteiger             ##   74, Bayern Munich (GER)
(8)  MF  Mesut Özil                         ##   10, Werder Bremen (GER)
(10)  MF  Lukas Podolski                     ##   73, 1. FC Köln (GER)
(13)  MF  Thomas Müller                      ##    2, Bayern Munich (GER)
(15)  MF  Piotr Trochowski                   ##   31, Hamburger SV (GER)
(18)  MF  Toni Kroos                         ##    4, Bayer Leverkusen (GER)
(21)  MF  Marko Marin                        ##    9, Werder Bremen (GER)
(9)  FW  Stefan Kießling                    ##    4, Bayer Leverkusen (GER)
(11)  FW  Miroslav Klose                     ##   96, Bayern Munich (GER)
(19)  FW  Cacau                              ##    8, VfB Stuttgart (GER)
(23)  FW  Mario Gómez                        ##   34, Bayern Munich (GER)

2014
(1)  GK  Manuel Neuer                       ##  45, Bayern Munich (GER)
(12)  GK  Ron-Robert Zieler                  ##   3, Hannover 96 (GER)
(22)  GK  Roman Weidenfeller                 ##   2, Borussia Dortmund (GER)
(2)  DF  Kevin Großkreutz                   ##   4, Borussia Dortmund (GER)
(4)  DF  Benedikt Höwedes                   ##  20, Schalke 04 (GER)
(5)  DF  Mats Hummels                       ##  29, Borussia Dortmund (GER)
(15)  DF  Erik Durm                          ##   1, Borussia Dortmund (GER)
(16)  DF  Philipp Lahm                       ## 105, Bayern Munich (GER)
(17)  DF  Per Mertesacker                    ##  97, Arsenal (ENG)
(20)  DF  Jérôme Boateng                     ##  38, Bayern Munich (GER)
(3)  MF  Matthias Ginter                    ##   2, SC Freiburg (GER)
(6)  MF  Sami Khedira                       ##  45, Real Madrid (ESP)
(7)  MF  Bastian Schweinsteiger             ## 101, Bayern Munich (GER)
(8)  MF  Mesut Özil                         ##  54, Arsenal (ENG)
(9)  MF  André Schürrle                     ##  32, Chelsea (ENG)
(13)  MF  Thomas Müller                      ##  48, Bayern Munich (GER)
(14)  MF  Julian Draxler                     ##  11, Schalke 04 (GER)
(18)  MF  Toni Kroos                         ##  43, Bayern Munich (GER)
(19)  MF  Mario Götze                        ##  28, Bayern Munich (GER)
(21)  MF  Marco Reus                         ##  20, Borussia Dortmund (GER)
(23)  MF  Christoph Kramer                   ##   2, Borussia Mönchengladbach (GER)
(10)  FW  Lukas Podolski                     ## 113, Arsenal (ENG)
(11)  FW  Miroslav Klose                     ## 131, Lazio (ITA)
