France - Squads

1998
22 players
(15)  DF  Bacary Sagna                       ##  40, Arsenal (ENG)
(17)  DF  Lucas Digne                        ##   2, Paris Saint-Germain (FRA)
(21)  DF  Laurent Koscielny                  ##  17, Arsenal (ENG)
 (6)  MF  Yohan Cabaye                       ##  29, Paris Saint-Germain (FRA)
 (8)  MF  Mathieu Valbuena                   ##  33, Marseille (FRA)
(11)  MF  Antoine Griezmann                  ##   3, Real Sociedad (ESP)
(12)  MF  Rio Mavuba                         ##  11, Lille (FRA)
(14)  MF  Blaise Matuidi                     ##  22, Paris Saint-Germain (FRA)
(18)  MF  Moussa Sissoko                     ##  16, Newcastle United (ENG)
(19)  MF  Paul Pogba                         ##  10, Juventus (ITA)
(22)  MF  Morgan Schneiderlin                ##   0, Southampton (ENG)
 (7)  FW  Rémy Cabella                       ##   1, Montpellier (FRA)
 (9)  FW  Olivier Giroud                     ##  29, Arsenal (ENG)
(10)  FW  Karim Benzema                      ##  65, Real Madrid (ESP)
(20)  FW  Loïc Rémy                          ##  24, Newcastle United (ENG)
