Japan - Squads

1998
22 players
 (9)  FW  Shinji Okazaki                     ##   28, Shimizu S-Pulse (JPN)
(11)  FW  Keiji Tamada                       ##   70, Nagoya Grampus (JPN)
(12)  FW  Kisho Yano                         ##   18, Albirex Niigata (JPN)
(16)  FW  Yoshito Okubo                      ##   49, Vissel Kobe (JPN)
(19)  FW  Takayuki Morimoto                  ##    6, Catania (ITA)

2014
(1)  GK  Eiji Kawashima                     ##  56, Standard Liège (BEL)
(12)  GK  Shusaku Nishikawa                  ##  12, Urawa Red Diamonds (JPN)
(23)  GK  Shuichi Gonda                      ##   2, F.C. Tokyo (JPN)
 (2)  DF  Atsuto Uchida                      ##  67, Schalke 04 (GER)
 (3)  DF  Gotoku Sakai                       ##  12, VfB Stuttgart (GER)
 (5)  DF  Yuto Nagatomo                      ##  69, Internazionale (ITA)
 (6)  DF  Masato Morishige                   ##   9, F.C. Tokyo (JPN)
(15)  DF  Yasuyuki Konno                     ##  80, Gamba Osaka (JPN)
(19)  DF  Masahiko Inoha                     ##  21, Jubilo Iwata (JPN)
(21)  DF  Hiroki Sakai                       ##  17, Hannover 96 (GER)
(22)  DF  Maya Yoshida                       ##  40, Southampton (ENG)
 (4)  MF  Keisuke Honda                      ##  55, Milan (ITA)
 (7)  MF  Yasuhito Endo                      ## 143, Gamba Osaka (JPN)
 (8)  MF  Hiroshi Kiyotake                   ##  25, 1. FC Nürnberg (GER)
(10)  MF  Shinji Kagawa                      ##  56, Manchester United (ENG)
(14)  MF  Toshihiro Aoyama                   ##   5, Sanfrecce Hiroshima (JPN)
(16)  MF  Hotaru Yamaguchi                   ##  11, Cerezo Osaka (JPN)
(17)  MF  Makoto Hasebe                      ##  78, 1. FC Nürnberg (GER)
 (9)  FW  Shinji Okazaki                     ##  75, Mainz 05 (GER)
(11)  FW  Yoichiro Kakitani                  ##  11, Cerezo Osaka (JPN)
(13)  FW  Yoshito Okubo                      ##  56, Kawasaki Frontale (JPN)
(18)  FW  Yuya Osako                         ##   8, 1860 München (GER)
(20)  FW  Manabu Saito                       ##   4, Yokohama F. Marinos (JPN)
